pdf_x_pt,pdf_y_pt,fraction_1,cloud_point_f,normalized_F_using_measured_endpoints
323.301208,478.141144,0.65225385,-17.464514,0.36445351
324.351166,478.666016,0.655407,-17.637889,0.36751126
325.476105,479.265869,0.65878533,-17.836031,0.37100584
326.601044,479.940704,0.66216367,-18.058941,0.37493724
327.726013,480.540558,0.66554209,-18.257084,0.37843181
328.850983,481.140411,0.66892052,-18.455226,0.38192639
329.975952,481.740265,0.67229894,-18.653368,0.38542096
331.100891,482.4151,0.67567727,-18.876279,0.38935236
332.150879,483.014954,0.67883052,-19.074421,0.39284693
333.275818,483.689789,0.68220885,-19.297331,0.39677833
334.400757,484.364624,0.68558718,-19.520241,0.40070972
335.525726,485.039459,0.68896561,-19.743152,0.40464112
336.650665,485.714294,0.69234394,-19.966062,0.40857252
337.775635,486.38913,0.69572237,-20.188972,0.41250391
338.900574,487.063965,0.6991007,-20.411882,0.41643531
339.950562,487.7388,0.70225395,-20.634792,0.42036671
341.0755,488.488617,0.70563228,-20.88247,0.42473493
342.20047,489.163452,0.7090107,-21.10538,0.42866632
343.325439,489.913269,0.71238913,-21.353058,0.43303454
344.450378,490.588104,0.71576746,-21.575969,0.43696594
345.575348,491.337921,0.71914589,-21.823647,0.44133416
346.700287,492.087738,0.72252422,-22.071325,0.44570237
347.750275,492.837555,0.72567746,-22.319003,0.45007059
348.875214,493.587372,0.7290558,-22.566681,0.45443881
350.000153,494.41217,0.73243413,-22.839126,0.45924385
351.125122,495.161987,0.73581256,-23.086804,0.46361207
352.250092,495.986786,0.73919098,-23.35925,0.46841711
353.375031,496.736603,0.74256931,-23.606928,0.47278533
354.425018,497.561401,0.74572256,-23.879374,0.47759037
355.549988,498.3862,0.74910098,-24.15182,0.48239541
356.674927,499.210999,0.75247932,-24.424265,0.48720045
357.799896,500.035797,0.75585774,-24.696711,0.49200549
358.924835,500.935577,0.75923607,-24.993925,0.49724735
360.049805,501.760376,0.7626145,-25.266371,0.50205239
361.174744,502.660156,0.76599283,-25.563584,0.50729425
362.224731,503.484955,0.76914608,-25.83603,0.51209929
363.34967,504.384735,0.77252441,-26.133244,0.51734116
364.47464,505.284515,0.77590284,-26.430457,0.52258302
365.599609,506.184296,0.77928126,-26.727671,0.52782488
366.724548,507.084076,0.78265959,-27.024884,0.53306674
367.849518,508.058838,0.78603802,-27.346866,0.53874543
368.974457,508.958618,0.78941635,-27.644079,0.54398729
370.024445,509.93338,0.7925696,-27.966061,0.54966597
371.149384,510.908142,0.79594793,-28.288042,0.55534466
372.274323,511.882904,0.79932626,-28.610023,0.56102334
373.399323,512.857666,0.80270478,-28.932005,0.56670202
374.524261,513.832458,0.80608311,-29.253996,0.57238089
375.6492,514.882141,0.80946145,-29.600725,0.57849604
376.77417,515.931946,0.81283987,-29.947495,0.5846119
377.824127,516.906677,0.81599302,-30.269466,0.5902904
378.949066,517.956421,0.81937136,-30.616215,0.59640591
380.074036,519.006165,0.82274978,-30.962964,0.60252141
381.198975,520.13092,0.82612811,-31.334491,0.60907392
382.323944,521.180603,0.82950654,-31.68122,0.61518907
383.448883,522.30542,0.83288487,-32.052768,0.62174193
384.498871,523.355103,0.83603812,-32.399497,0.62785708
385.62381,524.479858,0.83941645,-32.771024,0.63440959
386.748779,525.679565,0.84279488,-33.167308,0.64139874
387.873749,526.804321,0.8461733,-33.538835,0.64795124
388.998688,527.929016,0.84955163,-33.910342,0.65450339
390.123657,529.128662,0.85293006,-34.306607,0.66149219
391.248596,530.328369,0.85630839,-34.702892,0.66848134
392.298584,531.528076,0.85946164,-35.099176,0.67547048
393.423523,532.727783,0.86283997,-35.495461,0.68245963
394.548462,533.92749,0.8662183,-35.891746,0.68944878
395.673462,535.202209,0.86959682,-36.312809,0.69687493
396.798401,536.476929,0.87297515,-36.733871,0.70430108
397.92337,537.751648,0.87635358,-37.154934,0.71172723
399.048309,539.026306,0.87973191,-37.575976,0.71915302
400.098297,540.301025,0.88288516,-37.997039,0.72657917
401.223236,541.650635,0.88626349,-38.442839,0.73444161
402.348175,542.925354,0.88964182,-38.863902,0.74186776
403.473114,544.275024,0.89302015,-39.309722,0.74973055
404.598114,545.699707,0.89639867,-39.780321,0.75803035
405.723053,547.049316,0.899777,-40.226121,0.76589278
406.848022,548.398987,0.90315543,-40.671941,0.77375558
407.89798,549.823669,0.90630858,-41.142539,0.78205537
409.022949,551.248352,0.90968701,-41.613138,0.79035516
410.147919,552.672974,0.91306543,-42.083716,0.7986546
411.272858,554.172607,0.91644377,-42.579072,0.80739104
412.397827,555.59729,0.91982219,-43.04967,0.81569083
413.522766,557.096863,0.92320052,-43.545006,0.82442691
414.572754,558.596497,0.92635377,-44.040362,0.83316335
415.697693,560.171143,0.9297321,-44.560496,0.84233678
416.822632,561.670776,0.93311043,-45.055852,0.85107322
417.947632,563.245422,0.93648895,-45.575985,0.86024666
419.072571,564.820007,0.93986728,-46.096099,0.86941974
420.19754,566.394653,0.94324571,-46.616233,0.87859317
421.322479,567.969238,0.94662404,-47.136347,0.88776625
422.372467,569.618835,0.94977729,-47.681238,0.89737634
423.497406,571.268433,0.95315562,-48.22613,0.90698642
424.622345,572.91803,0.95653395,-48.771021,0.9165965
425.747314,574.642639,0.95991238,-49.340691,0.92664358
426.872284,576.292175,0.9632908,-49.885562,0.9362533
427.997223,578.016785,0.96666914,-50.455232,0.94630038
429.122192,579.741394,0.97004756,-51.024901,0.95634746
430.17215,581.540894,0.97320071,-51.619308,0.96683083
431.297089,583.265503,0.97657905,-52.188978,0.97687791
432.422058,585.065063,0.97995747,-52.783405,0.98736163
433.546997,586.864624,0.98333581,-53.377832,0.99784536
434.671967,588.739197,0.98671423,-53.997037,1.00876608
435.796906,590.538696,0.99009256,-54.591444,1.01924945
436.921875,592.413269,0.99347099,-55.210649,1.03017018
437.971832,594.287842,0.99662414,-55.829854,1.0410909
439.096771,596.237305,1.00000247,-56.473797,1.05244791
